order;order_oud;sourcename;fieldname;stap_toevoegen;stap_bereken;type;lengte;alias;expression;mag_niet_0_zijn;Toelichting ;opmerking;Bron
1;1;NAAM;K_BEM_GEB;st1a;01_kikker;TEXT;50;Naam Bemalingsgebied;;;Naam gebied uit Kikker;;Netwerk
2;6;;X_OPPOMP;st1a;00_graph;LONG;;Aantal X op pompen;;;Aantal maal op te pompen tot aan overnamepunt;;Kikker
3;7;;X_OBEMAL;st1a;00_graph;LONG;;Aantal onderbemalingen;;;Aantal onderbemalingen die afvoeren op dit gebied;;Kikker
4;8;CAP_INST_M;K_INST_TOT;st1a;01_kikker;DOUBLE;;Geïnstalleerde capaciteit Rg (m3/h);;;Geïnstalleerde capaciteit uit Kikker;;Kikker
5;;;IN_DWA_POC;st1a;09_obm;DOUBLE;;Injectie(s) DWA & POC (m3/h);onderbem_1n(K_INST_TOT);;Totaal DWA uit onderbemaling + Totaal POC uit onderbemaling;;Berekend
6;11;;DWR_TOT;st1a;04_ber;DOUBLE;;DWA obv drwater (T) (m3/h);[DWR_GEBIED]+[DWR_ONBG];;Drinkwaterverbruik in Totaal;;Kikker
7;9;;POC_B_M3_T;st1a;10_ber;DOUBLE;;POC beschikbaar (T) (m3/h);[K_INST_TOT] - [DWR_GEBIED] - [IN_DWA_POC];;Pomp Over Capaciteit totaal;;Kikker
8;10;;POC_B_MM_T;st1a;10_ber;DOUBLE;;POC beschikbaar (T) (mm/h);[POC_B_M3_T]/(10*[HA_TOT_G]);HA_TOT_G;Berekend met FOLMULE poc;;Kikker
9;17;LAAGSTE_OS;K_OSH;st1a;01_kikker;DOUBLE;;Laagste OSH (NAP);;;Laagste overstorthoogte van stelsel uit Kikker;;Berekend
10;16;BERGING_M3;K_BR_ST_M3;st1a;01_kikker;DOUBLE;;Berging stelsel (G) (m3);;;Inhoud stelsel uit Kikker;;Berekend
11;20;;BERG_ST_MM;st1a;08_ber;DOUBLE;;Berging stelsel (G) (mm);[K_BR_ST_M3]/[HA_TOT_G]/10;HA_TOT_G;Berekend met FOLMULE berging;;BAG
12;23;;VULTIJD_U;st1a;08_ber;DOUBLE;;Vultijd (uur, (tijdens droogweer));[K_BR_ST_M3]/[DWR_TOT];DWR_TOT;Inhoud gedeeld door aanvoer (Berging / DWA) in uur;;PLANCAP
13;24;;LEDIG_U;st1a;11_ber;DOUBLE;;Ledigingstijd (uur) na bui; if([K_BR_ST_M3]/[POC_B_M3_T]< 10,  [K_BR_ST_M3]/[POC_B_M3_T], 10 + ([K_BR_ST_M3] - 10*[POC_B_M3_T])/ [K_INST_TOT]);;Ledigingstijd is de tijd die nodig is om het stelsel te ledigen;;Berekend
14;15;;HA_TOT_G;st1a;07_ber;DOUBLE;;Totaal oppervlak afvoerend (G) (ha);[HA_GEM_G]+[HA_VGS_G];;Totaal aangesloten verhard oppervlak;;Berekend
15;22;;OPP_PER_M2;st1a;08_ber;DOUBLE;;Oppervlak per perceel (G) (m2);[HA_TOT_G]*10000/[X_WON_GEB];X_WON_GEB;Verhard oppervlak*10000/Aantal woningen;;PLANCAP
16;13;;POC_O_M3_T;st1a;10_ber;DOUBLE;;POC ontwerp (T) (m3/h);[POC_O_M3_G]+[POC_O_M3_O];;Berekend met FOLMULE poc (POC = 0,7);;Berekend
17;14;;POC_O_MM_T;st1a;11_ber;DOUBLE;;POC ontwerp (T) (mm/h);[POC_O_M3_T]/(10*[HA_TOT_G]);HA_TOT_G;Berekend met FOLMULE poc;;Berekend
18;12;;CAP_ONTW;st1a;11_ber;DOUBLE;;Ontwerp capaciteit Rg (m3/h);[DWR_TOT]+[POC_O_M3_T];;Geïnstalleerde capaciteit uitgaand van kentallen;;Kikker
19;33;;X_WON_TOT;st1a;04_ber;LONG;;Aantal woningen (T);[X_WON_GEB] + [X_WON_ONBG];;Aantal percelen Totaal;;BAG
20;36;;DWA_BAG;st1a;05_ber;DOUBLE;;DWA obv woningen (m3/u);[X_WON_TOT] * 2.5 * 0.012;;DWA berekend op basis van aantal percelen Totaal;;PLANCAP
21;37;;X_VE_TOT;st1a;04_ber;LONG;;Aantal ve's (T);[X_VE_GEB]+[X_VE_ONBG];;Aantal ve's Totaal;;VE
22;40;;DWA_VE_TOT;st1a;04a_ber;DOUBLE;;DWA obv ve's (T) (m3/u);[X_VE_TOT]*0.012;;DWA berekend op basis van aantal ve's Totaal;;BGT-GEM
23;41;;AW_15_24_T;st1a;04_ber;DOUBLE;;X Afvw. t/m 2024 (T) (m3/u);[AW_15_24_G]+[AW_15_24_O];;Extra afvalwater uitbreidingsgebieden Totaal, t/m 2024;;Berekend
